Key,en,es
Dashboard,Dashboard,Panel
Default,Default,Por defecto
Setup Currency,Setup Currency,Moneda de configuración
Campaigns,Campaigns,Campañas
Language created successfully!,Language created successfully!,¡Lenguaje creado con éxito!
Transactions & Log,Transactions & Log,Transacciones y registro
Add Money Logs,Add Money Logs,Agregar registros de dinero
Pending Logs,Pending Logs,Registros pendientes
Completed Logs,Completed Logs,Registros completados
Canceled Logs,Canceled Logs,Registros cancelados
All Logs,All Logs,Todos los registros
User Care,User Care,Cuidado de los usuarios
Active Users,Active Users,Usuarios activos
Email Unverified,Email Unverified,Correo electrónico no verificado
All Users,All Users,Todos los usuarios
Email To Users,Email To Users,Correo electrónico a los usuarios
Banned Users,Banned Users,Usuarios prohibidos
Admin Care,Admin Care,Atención administrativa
All Admin,All Admin,Todos los administradores
Admin Role,Admin Role,Rol de administrador
Role Permission,Role Permission,Permiso de rol
Email To Admin,Email To Admin,Correo electrónico al administrador
Subscriber,Subscriber,Abonado
Contact Messages,Contact Messages,Mensajes de contacto
Settings,Settings,Ajustes
Web Settings,Web Settings,Configuración web
Basic Settings,Basic Settings,Ajustes básicos
Image Assets,Image Assets,Activos de imagen
Setup SEO,Setup SEO,Configuración de SEO
App Settings,App Settings,Ajustes de Aplicacion
Splash Screen,Splash Screen,Pantalla de bienvenida
Onboard Screen,Onboard Screen,Pantalla a bordo
App URLs,App URLs,URL de aplicaciones
Languages, Languages, Lenguas
Verification Center,Verification Center,Centro de verificación
Setup Email,Setup Email,Correo electrónico de configuración
Email Method,Email Method,Método de correo electrónico
Setup Web Content,Setup Web Content,Configurar contenido web
Setup Section,Setup Section,Sección de configuración
Home Banner,Home Banner,Estandarte
About Section,About Section,Acerca de la sección
Download App,Download App,Descargar aplicación
Testimonial Section,Testimonial Section,Sección de testimonios
Footer Section,Footer Section,Sección de pies
Breadcrumb Section,Breadcrumb Section,Sección de pan de pan
Gallery Section,Gallery Section,Sección de la galería
Contact Section,Contact Section,Sección de contacto
Category Type,Category Type,Tipo de categoría
Faq Section,Faq Section,Sección de preguntas frecuentes
Login Section,Login Section,Sección de inicio de sesión
Register Section,Register Section,Sección de registro
Setup Pages,Setup Pages,Configuración de páginas
Useful LInks,Useful LInks,Enlaces útiles
Extensions,Extensions,Extensiones
Payment Methods,Payment Methods,Métodos de pago
Add Money,Add Money,Agregar dinero
Automatic,Automatic,Automático
Manual,Manual,Manual
Bonus,Bonus,Prima
GDPR Cookie,GDPR Cookie,Galleta GDPR
Server Info,Server Info,Información del servidor
Clear Cache,Clear Cache,Limpiar cache
Home,Home,Hogar
About,About,Acerca de
Contact,Contact,Contacto
Join the event,Join the event,Únete al evento
About Foundation,About Foundation,Sobre la base
Our Gallery,Our Gallery,Nuestra galería
Get In Touch,Get In Touch,Ponerse en contacto
Follow Us,Follow Us,Síganos
Support Us,Support Us,Apoyanos
Newsletter,Newsletter,Boletin informativo
Subscribe,Subscribe,Suscribir
Decline,Decline,Rechazar
Allow,Allow,Permitir
Donate Now,Donate Now,Done ahora
To Go,To Go,Ir
Life,Life,Vida
Recent Posts,Recent Posts,Mensajes recientes
Send Message,Send Message,Enviar mensaje
Our Location,Our Location,nuestra ubicación
Call us on,Call us on,Llámenos
Email us directly,Email us directly,Envíenos un correo electrónico directamente
Forgot Password,Forgot Password,Has olvidado tu contraseña
Login Now,Login Now,Inicia sesión ahora
Or,Or,O
Register Now,Register Now,Regístrate ahora
Already Have An Account,Already Have An Account,Ya tienes una cuenta
Send Code,Send Code,Enviar código
Password Forgot,Enter your account email or username to verify,Ingrese el correo electrónico o el nombre de usuario de su cuenta para verificar
Enter your account email or username to verify,,#VALUE!
Password Reset,Password Reset,Restablecimiento de contraseña
Reset your password,Reset your password,Restablecer su contraseña
Reset,Reset,Reiniciar
OTP Verification,OTP Verification,Verificación OTP
