Key,en,es,ar
Dashboard,Dashboard,Panel,لوحة القيادة
Default,Default,Por defecto,تقصير
Setup Currency,Setup Currency,Moneda de configuración,عملة الإعداد
Campaigns,Campaigns,Campañas,الحملات
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!
Transactions & Log,Transactions & Log,Transacciones y registro,المعاملات والسجل
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة
All Logs,All Logs,Todos los registros,جميع السجلات
Or Pay with Debit & Credit Card,Or Pay with Debit & Credit Card,O Pague con Tarjeta de Débito y Crédito,أو الدفع باستخدام بطاقة الخصم والائتمان
User Care,User Care,Atención al usuario,رعاية المستخدم
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
Email Unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني
All Users,All Users,Todos los usuarios,جميع المستخدمين
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون
Admin Care,Admin Care,Atención administrativa,رعاية المشرف
All Admin,All Admin,Todos los administradores,كل المشرف
Admin Role,Admin Role,Rol de administrador,دور المشرف
Role Permission,Role Permission,Permiso de rol,إذن الدور
Email To Admin,Email To Admin,Enviar correo electrónico al administrador,البريد الإلكتروني إلى المشرف
Subscriber,Subscriber,Abonado,المشترك
Contact Messages,Contact Messages,Mensajes de contacto,رسائل الاتصال
Settings,Settings,Ajustes,إعدادات
Web Settings,Web Settings,Configuración web,إعدادات الويب
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية
Image Assets,Image Assets,Recursos de imagen,أصول الصورة
Setup SEO,Setup SEO,Configurar SEO,إعداد كبار المسئولين الاقتصاديين
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
Onboard Screen,Onboard Screen,Pantalla integrada,شاشة على متن الطائرة
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيقات
Languages, Languages, Idiomas, اللغات
Verification Center,Verification Center,Centro de verificación,مركز التحقق
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
Home Banner,Home Banner,Banner de inicio,راية الصفحة الرئيسية
About Section,About Section,Acerca de la sección,حول القسم
Download App,Download App,Descargar aplicación,تحميل التطبيق
Testimonial Section,Testimonial Section,Sección de testimonios,قسم الشهادة
